municipio;uf;bioma
GOVERNADOR CELSO RAMOS;SC;Área Marinha
BONITO DE MINAS;MG;Cerrado
CÔNEGO MARINHO;MG;Cerrado
ITACARAMBI;MG;Cerrado
JANUÁRIA;MG;Cerrado
ÁGUAS LINDAS DE GOIÁS;GO;Cerrado
BRASÍLIA;DF;Cerrado
PADRE BERNARDO;GO;Cerrado
ARARUAMA;RJ;Mata Atlântica
CABO FRIO;RJ;Mata Atlântica
CACHOEIRAS DE MACACU;RJ;Mata Atlântica
CASIMIRO DE ABREU;RJ;Mata Atlântica
RIO BONITO;RJ;Mata Atlântica
RIO DAS OSTRAS;RJ;Mata Atlântica
SILVA JARDIM;RJ;Mata Atlântica
FLORIANÓPOLIS;SC;Área Marinha
GAROPABA;SC;Área Marinha
IÇARA;SC;Área Marinha
IMBITUBA;SC;Área Marinha
JAGUARUNA;SC;Área Marinha
LAGUNA;SC;Área Marinha
PALHOÇA;SC;Área Marinha
PAULO LOPES;SC;Área Marinha
TUBARÃO;SC;Área Marinha
BAÍA DA TRAIÇÃO;PB;Mata Atlântica
LUCENA;PB;Mata Atlântica
MARCAÇÃO;PB;Mata Atlântica
RIO TINTO;PB;Mata Atlântica
ABAIARA;CE;Caatinga
ALEGRETE DO PIAUÍ;PI;Caatinga
ALTANEIRA;CE;Caatinga
ARARIPE;CE;Caatinga
ARARIPINA;PE;Caatinga
ASSARÉ;CE;Caatinga
BARBALHA;CE;Caatinga
BODOCÓ;PE;Caatinga
BREJO SANTO;CE;Caatinga
CALDEIRÃO GRANDE DO PIAUÍ;PI;Caatinga
CAMPOS SALES;CE;Caatinga
CARIDADE DO PIAUÍ;PI;Caatinga
CEDRO;PE;Caatinga
CRATO;CE;Caatinga
CURRAL NOVO DO PIAUÍ;PI;Caatinga
EXU;PE;Caatinga
FARIAS BRITO;CE;Caatinga
FRANCISCO MACEDO;PI;Caatinga
FRONTEIRAS;PI;Caatinga
IPUBI;PE;Caatinga
JARDIM;CE;Caatinga
JATI;CE;Caatinga
MARCOLÂNDIA;PI;Caatinga
MISSÃO VELHA;CE;Caatinga
MOREILÂNDIA;PE;Caatinga
NOVA OLINDA;CE;Caatinga
PADRE MARCOS;PI;Caatinga
PENAFORTE;CE;Caatinga
PORTEIRAS;CE;Caatinga
POTENGI;CE;Caatinga
SALITRE;CE;Caatinga
SANTANA DO CARIRI;CE;Caatinga
SÃO JULIÃO;PI;Caatinga
SERRITA;PE;Caatinga
SIMÕES;PI;Caatinga
TRINDADE;PE;Caatinga
BARRA DE SANTO ANTÔNIO;AL;Área Marinha
BARREIROS;PE;Área Marinha
JAPARATINGA;AL;Área Marinha
MACEIÓ;AL;Área Marinha
MARAGOGI;AL;Área Marinha
PARIPUEIRA;AL;Área Marinha
PASSO DE CAMARAGIBE;AL;Área Marinha
PORTO CALVO;AL;Área Marinha
PORTO DE PEDRAS;AL;Área Marinha
SÃO JOSÉ DA COROA GRANDE;PE;Área Marinha
SÃO MIGUEL DOS MILAGRES;AL;Área Marinha
TAMANDARÉ;PE;Área Marinha
DUQUE DE CAXIAS;RJ;Mata Atlântica
GUAPIMIRIM;RJ;Mata Atlântica
MAGÉ;RJ;Mata Atlântica
PETRÓPOLIS;RJ;Mata Atlântica
AIURUOCA;MG;Mata Atlântica
ALAGOA;MG;Mata Atlântica
BAEPENDI;MG;Mata Atlântica
BOCAINA DE MINAS;MG;Mata Atlântica
CAMPOS DO JORDÃO;SP;Mata Atlântica
CRUZEIRO;SP;Mata Atlântica
DELFIM MOREIRA;MG;Mata Atlântica
GUARATINGUETÁ;SP;Mata Atlântica
ITAMONTE;MG;Mata Atlântica
ITANHANDU;MG;Mata Atlântica
ITATIAIA;RJ;Mata Atlântica
LAVRINHAS;SP;Mata Atlântica
LIBERDADE;MG;Mata Atlântica
LORENA;SP;Mata Atlântica
MARMELÓPOLIS;MG;Mata Atlântica
PASSA QUATRO;MG;Mata Atlântica
PASSA VINTE;MG;Mata Atlântica
PINDAMONHANGABA;SP;Mata Atlântica
PIQUETE;SP;Mata Atlântica
PIRANGUÇU;MG;Mata Atlântica
POUSO ALTO;MG;Mata Atlântica
QUELUZ;SP;Mata Atlântica
RESENDE;RJ;Mata Atlântica
SANTO ANTÔNIO DO PINHAL;SP;Mata Atlântica
SÃO BENTO DO SAPUCAÍ;SP;Mata Atlântica
VIRGÍNIA;MG;Mata Atlântica
WENCESLAU BRAZ;MG;Mata Atlântica
ALTO PARNAÍBA;MA;Cerrado
BARREIRAS DO PIAUÍ;PI;Cerrado
FORMOSA DO RIO PRETO;BA;Cerrado
MATEIROS;TO;Cerrado
PARATY;RJ;Mata Atlântica
CANANÉIA;SP;Mata Atlântica
IGUAPE;SP;Mata Atlântica
ILHA COMPRIDA;SP;Mata Atlântica
ITARIRI;SP;Mata Atlântica
MIRACATU;SP;Mata Atlântica
PERUÍBE;SP;Mata Atlântica
FERNANDO DE NORONHA;PE;Área Marinha
ITABORAÍ;RJ;Mata Atlântica
SÃO GONÇALO;RJ;Mata Atlântica
ANTONINA;PR;Mata Atlântica
CAMPINA GRANDE DO SUL;PR;Mata Atlântica
GUARAQUEÇABA;PR;Mata Atlântica
PARANAGUÁ;PR;Mata Atlântica
FELIZ DESERTO;AL;Mata Atlântica
PIAÇABUÇU;AL;Mata Atlântica
ÁGUA DOCE DO MARANHÃO;MA;Cerrado
ARAIOSES;MA;Cerrado
BARROQUINHA;CE;Cerrado
CAJUEIRO DA PRAIA;PI;Cerrado
CHAVAL;CE;Cerrado
ILHA GRANDE;PI;Cerrado
LUÍS CORREIA;PI;Cerrado
PARNAÍBA;PI;Cerrado
PAULINO NEVES;MA;Cerrado
TUTÓIA;MA;Cerrado
CONFINS;MG;Cerrado
FUNILÂNDIA;MG;Cerrado
LAGOA SANTA;MG;Cerrado
MATOZINHOS;MG;Cerrado
PEDRO LEOPOLDO;MG;Cerrado
ALEGRETE;RS;Pampa
QUARAÍ;RS;Pampa
ROSÁRIO DO SUL;RS;Pampa
SANT'ANA DO LIVRAMENTO;RS;Pampa
PARAUAPEBAS;PA;Amazônia
PLANALTINA;GO;Cerrado
COCALINHO;MT;Cerrado
FORMOSO DO ARAGUAIA;TO;Cerrado
NOVA CRIXÁS;GO;Cerrado
SANDOLÂNDIA;TO;Cerrado
SÃO MIGUEL DO ARAGUAIA;GO;Cerrado
ALTÔNIA;PR;Mata Atlântica
ALTO PARAÍSO;PR;Mata Atlântica
BATAYPORÃ;MS;Mata Atlântica
DIAMANTE DO NORTE;PR;Mata Atlântica
ELDORADO;MS;Mata Atlântica
GUAÍRA;PR;Mata Atlântica
ICARAÍMA;PR;Mata Atlântica
IGUATEMI;MS;Mata Atlântica
ITAQUIRAÍ;MS;Mata Atlântica
IVATÉ;PR;Mata Atlântica
IVINHEMA;MS;Mata Atlântica
JAPORÃ;MS;Mata Atlântica
JATEÍ;MS;Mata Atlântica
MARILENA;PR;Mata Atlântica
MUNDO NOVO;MS;Mata Atlântica
NAVIRAÍ;MS;Mata Atlântica
NOVA ANDRADINA;MS;Mata Atlântica
NOVA LONDRINA;PR;Mata Atlântica
NOVO HORIZONTE DO SUL;MS;Mata Atlântica
PORTO RICO;PR;Mata Atlântica
QUERÊNCIA DO NORTE;PR;Mata Atlântica
ROSANA;SP;Mata Atlântica
SANTA CRUZ DE MONTE CASTELO;PR;Mata Atlântica
SÃO JORGE DO PATROCÍNIO;PR;Mata Atlântica
SÃO PEDRO DO PARANÁ;PR;Mata Atlântica
TAQUARUSSU;MS;Mata Atlântica
TERRA ROXA;PR;Mata Atlântica
CONCEIÇÃO DO MATO DENTRO;MG;Cerrado
ITABIRA;MG;Cerrado
ITAMBÉ DO MATO DENTRO;MG;Cerrado
JABOTICATUBAS;MG;Cerrado
MORRO DO PILAR;MG;Cerrado
NOVA UNIÃO;MG;Cerrado
SANTANA DO RIACHO;MG;Cerrado
TAQUARAÇU DE MINAS;MG;Cerrado
BURITINÓPOLIS;GO;Cerrado
DAMIANÓPOLIS;GO;Cerrado
JABORANDI;BA;Cerrado
MAMBAÍ;GO;Cerrado
POSSE;GO;Cerrado
BOM PRINCÍPIO DO PIAUÍ;PI;Caatinga
BRASILEIRA;PI;Caatinga
BURITI DOS LOPES;PI;Caatinga
CHAVAL;CE;Caatinga
COCAL;PI;Caatinga
CONCEIÇÃO DO CANINDÉ;PI;Caatinga
DOMINGOS MOURÃO;PI;Caatinga
GRANJA;CE;Caatinga
LAGOA DE SÃO FRANCISCO;PI;Caatinga
MORAÚJO;CE;Caatinga
PEDRO II;PI;Caatinga
PIRACURUCA;PI;Caatinga
PIRIPIRI;PI;Caatinga
TIANGUÁ;CE;Caatinga
VIÇOSA DO CEARÁ;CE;Caatinga
SANTA RITA DO PASSA QUATRO;SP;Cerrado
NITERÓI;RJ;Mata Atlântica
BARRA MANSA;RJ;Mata Atlântica
VOLTA REDONDA;RJ;Mata Atlântica
SANTO ANTÔNIO DO IÇÁ;AM;Amazônia
CAMPINAS;SP;Mata Atlântica
PAULÍNIA;SP;Mata Atlântica
ARTUR NOGUEIRA;SP;Mata Atlântica
COSMÓPOLIS;SP;Mata Atlântica
MANAUS;AM;Amazônia
RIO PRETO DA EVA;AM;Amazônia
EPITACIOLÂNDIA;AC;Amazônia
XAPURI;AC;Amazônia
VITOR MEIRELES;SC;Mata Atlântica
ALTAMIRA;PA;Amazônia
SÃO FÉLIX DO XINGU;PA;Amazônia
AIUABA;CE;Caatinga
NOVO AIRÃO;AM;Amazônia
MUITOS CAPÕES;RS;Mata Atlântica
FLORIANÓPOLIS;SC;Mata Atlântica
CANUTAMA;AM;Amazônia
HUMAITÁ;AM;Amazônia
PORTO VELHO;RO;Amazônia
AMATURÁ;AM;Amazônia
JUTAÍ;AM;Amazônia
TONANTINS;AM;Amazônia
ALTO ALEGRE;RR;Amazônia
AMAJARI;RR;Amazônia
AMAPÁ;AP;Amazônia
FLEXEIRAS;AL;Mata Atlântica
MESSIAS;AL;Mata Atlântica
MURICI;AL;Mata Atlântica
CARACARAÍ;RR;Amazônia
MORADA NOVA DE MINAS;MG;Cerrado
CÁCERES;MT;Pantanal
POCONÉ;MT;Pantanal
ANGRA DOS REIS;RJ;Área Marinha
PARATY;RJ;Área Marinha
SÃO SEBASTIÃO;SP;Área Marinha
UBATUBA;SP;Área Marinha
BAIXA GRANDE DO RIBEIRO;PI;Cerrado
ALTO SANTO;CE;Caatinga
IRACEMA;CE;Caatinga
JAGUARIBARA;CE;Caatinga
ALMEIRIM;PA;Amazônia
LARANJAL DO JARI;AP;Amazônia
MAZAGÃO;AP;Amazônia
ASSIS BRASIL;AC;Amazônia
SENA MADUREIRA;AC;Amazônia
SERRA NEGRA DO NORTE;RN;Caatinga
RIO GRANDE;RS;Pampa
SANTA VITÓRIA DO PALMAR;RS;Pampa
CANANÉIA;SP;Área Marinha
ITANHAÉM;SP;Área Marinha
PERUÍBE;SP;Área Marinha
JAPURÁ;AM;Amazônia
EUCLIDES DA CUNHA PAULISTA;SP;Mata Atlântica
MARABÁ PAULISTA;SP;Mata Atlântica
PRESIDENTE EPITÁCIO;SP;Mata Atlântica
TEODORO SAMPAIO;SP;Mata Atlântica
JEREMOABO;BA;Caatinga
PAULO AFONSO;BA;Caatinga
RODELAS;BA;Caatinga
CÁCERES;MT;Cerrado
PORTO ESTRELA;MT;Cerrado
ALMAS;TO;Cerrado
PONTE ALTA DO TOCANTINS;TO;Cerrado
RIO DA CONCEIÇÃO;TO;Cerrado
CAMPO LARGO;PR;Mata Atlântica
CAÇADOR;SC;Mata Atlântica
BURI;SP;Cerrado
CAPÃO BONITO;SP;Cerrado
CHAPECÓ;SC;Mata Atlântica
GUATAMBÚ;SC;Mata Atlântica
CONTENDAS DO SINCORÁ;BA;Caatinga
TANHAÇU;BA;Caatinga
AÇU;RN;Caatinga
ITAITUBA;PA;Amazônia
TRAIRÃO;PA;Amazônia
RORAINÓPOLIS;RR;Amazônia
TAPAUÁ;AM;Amazônia
CANELA;RS;Mata Atlântica
ÁGUA AZUL DO NORTE;PA;Amazônia
CANAÃ DOS CARAJÁS;PA;Amazônia
GURUPÁ;PA;Amazônia
MELGAÇO;PA;Amazônia
PORTEL;PA;Amazônia
PORTO DE MOZ;PA;Amazônia
BAIANÓPOLIS;BA;Cerrado
LINHARES;ES;Mata Atlântica
APIÚNA;SC;Mata Atlântica
ASCURRA;SC;Mata Atlântica
IBIRAMA;SC;Mata Atlântica
ARAÇOIABA DA SERRA;SP;Mata Atlântica
CAPELA DO ALTO;SP;Mata Atlântica
IPERÓ;SP;Mata Atlântica
CANDEIAS DO JAMARI;RO;Amazônia
ALENQUER;PA;Amazônia
MONTE ALEGRE;PA;Amazônia
NÍSIA FLORESTA;RN;Mata Atlântica
CACHOEIRO DE ITAPEMIRIM;ES;Mata Atlântica
ALTOS;PI;Cerrado
TERESINA;PI;Cerrado
PARAOPEBA;MG;Cerrado
BORBA;AM;Amazônia
MAUÉS;AM;Amazônia
NOVA OLINDA DO NORTE;AM;Amazônia
CORONEL XAVIER CHAVES;MG;Mata Atlântica
RITÁPOLIS;MG;Mata Atlântica
SÃO JOÃO DEL REI;MG;Mata Atlântica
MUCAJAÍ;RR;Amazônia
FEIJÓ;AC;Amazônia
SANTA ROSA DO PURUS;AC;Amazônia
FARO;PA;Amazônia
ORIXIMINÁ;PA;Amazônia
TERRA SANTA;PA;Amazônia
SILVÂNIA;GO;Cerrado
SOBRAL;CE;Caatinga
ALVARÃES;AM;Amazônia
CARAUARI;AM;Amazônia
JURUÁ;AM;Amazônia
TEFÉ;AM;Amazônia
UARINI;AM;Amazônia
FERREIRA GOMES;AP;Amazônia
PRACUÚBA;AP;Amazônia
BARCELOS;AM;Amazônia
SANTA ISABEL DO RIO NEGRO;AM;Amazônia
MARABÁ;PA;Amazônia
CUJUBIM;RO;Amazônia
ITAPUÃ DO OESTE;RO;Amazônia
APUÍ;AM;Amazônia
BOCA DO ACRE;AM;Amazônia
PAUINI;AM;Amazônia
CONCEIÇÃO DA BARRA;ES;Mata Atlântica
AVEIRO;PA;Amazônia
BELTERRA;PA;Amazônia
PLACAS;PA;Amazônia
RURÓPOLIS;PA;Amazônia
FERNANDES PINHEIRO;PR;Mata Atlântica
IMBITUVA;PR;Mata Atlântica
TEIXEIRA SOARES;PR;Mata Atlântica
SEROPÉDICA;RJ;Mata Atlântica
SÃO DOMINGOS;GO;Cerrado
MATO CASTELHANO;RS;Mata Atlântica
PIRAÍ DO SUL;PR;Mata Atlântica
CABEDELO;PB;Mata Atlântica
JOÃO PESSOA;PB;Mata Atlântica
SÃO FRANCISCO DE PAULA;RS;Mata Atlântica
TRÊS BARRAS;SC;Mata Atlântica
ITACARAMBI;MG;Caatinga
SÃO JOÃO DAS MISSÕES;MG;Caatinga
ANDARAÍ;BA;Caatinga
IBICOARA;BA;Caatinga
ITAETÉ;BA;Caatinga
LENÇÓIS;BA;Caatinga
MUCUGÊ;BA;Caatinga
PALMEIRAS;BA;Caatinga
CHAPADA DOS GUIMARÃES;MT;Cerrado
CUIABÁ;MT;Cerrado
ALTO PARAÍSO DE GOIÁS;GO;Cerrado
CAVALCANTE;GO;Cerrado
NOVA ROMA;GO;Cerrado
SÃO JOÃO D'ALIANÇA;GO;Cerrado
TERESINA DE GOIÁS;GO;Cerrado
MOSTARDAS;RS;Pampa
TAVARES;RS;Pampa
CARAPEBUS;RJ;Mata Atlântica
MACAÉ;RJ;Mata Atlântica
QUISSAMÃ;RJ;Mata Atlântica
ANGRA DOS REIS;RJ;Mata Atlântica
AREIAS;SP;Mata Atlântica
CUNHA;SP;Mata Atlântica
SÃO JOSÉ DO BARREIRO;SP;Mata Atlântica
UBATUBA;SP;Mata Atlântica
BODOQUENA;MS;Cerrado
BONITO;MS;Cerrado
JARDIM;MS;Cerrado
PORTO MURTINHO;MS;Cerrado
CAPITÓLIO;MG;Cerrado
DELFINÓPOLIS;MG;Cerrado
SACRAMENTO;MG;Cerrado
SÃO JOÃO BATISTA DO GLÓRIA;MG;Cerrado
SÃO ROQUE DE MINAS;MG;Cerrado
VARGEM BONITA;MG;Cerrado
BREJO DO PIAUÍ;PI;Caatinga
CORONEL JOSÉ DIAS;PI;Caatinga
JOÃO COSTA;PI;Caatinga
SÃO RAIMUNDO NONATO;PI;Caatinga
ALVORADA DO GURGUÉIA;PI;Caatinga
BOM JESUS;PI;Caatinga
CANTO DO BURITI;PI;Caatinga
CARACOL;PI;Caatinga
CRISTINO CASTRO;PI;Caatinga
CURIMATÁ;PI;Caatinga
GUARIBAS;PI;Caatinga
JUREMA;PI;Caatinga
REDENÇÃO DO GURGUÉIA;PI;Caatinga
SANTA LUZ;PI;Caatinga
TAMBORIL DO PIAUÍ;PI;Caatinga
AREIA BRANCA;SE;Mata Atlântica
CAMPO DO BRITO;SE;Mata Atlântica
ITABAIANA;SE;Mata Atlântica
ITAPORANGA D'AJUDA;SE;Mata Atlântica
LARANJEIRAS;SE;Mata Atlântica
MALHADOR;SE;Mata Atlântica
CRUZEIRO DO SUL;AC;Amazônia
MÂNCIO LIMA;AC;Amazônia
MARECHAL THAUMATURGO;AC;Amazônia
PORTO WALTER;AC;Amazônia
RODRIGUES ALVES;AC;Amazônia
BLUMENAU;SC;Mata Atlântica
BOTUVERÁ;SC;Mata Atlântica
GASPAR;SC;Mata Atlântica
GUABIRUBA;SC;Mata Atlântica
INDAIAL;SC;Mata Atlântica
PRESIDENTE NEREU;SC;Mata Atlântica
VIDAL RAMOS;SC;Mata Atlântica
TERESÓPOLIS;RJ;Mata Atlântica
CAMBARÁ DO SUL;RS;Mata Atlântica
JACINTO MACHADO;SC;Mata Atlântica
PRAIA GRANDE;SC;Mata Atlântica
RIO DE JANEIRO;RJ;Mata Atlântica
CHAPADÃO DO CÉU;GO;Cerrado
MINEIROS;GO;Cerrado
CORRENTE;PI;Cerrado
GILBUÉS;PI;Cerrado
LIZARDA;TO;Cerrado
SÃO FÉLIX DO TOCANTINS;TO;Cerrado
SÃO GONÇALO DO GURGUÉIA;PI;Cerrado
BOCAIÚVA;MG;Cerrado
BUENÓPOLIS;MG;Cerrado
DIAMANTINA;MG;Cerrado
OLHOS-D'ÁGUA;MG;Cerrado
ALTO CAPARAÓ;MG;Mata Atlântica
ALTO JEQUITIBÁ;MG;Mata Atlântica
CAPARAÓ;MG;Mata Atlântica
DIVINO DE SÃO LOURENÇO;ES;Mata Atlântica
DORES DO RIO PRETO;ES;Mata Atlântica
ESPERA FELIZ;MG;Mata Atlântica
IBITIRAMA;ES;Mata Atlântica
IRUPI;ES;Mata Atlântica
IÚNA;ES;Mata Atlântica
CRUZ;CE;Caatinga
JIJOCA DE JERICOACOARA;CE;Caatinga
ALVORADA D'OESTE;RO;Amazônia
CAMPO NOVO DE RONDÔNIA;RO;Amazônia
GOVERNADOR JORGE TEIXEIRA;RO;Amazônia
GUAJARÁ-MIRIM;RO;Amazônia
MIRANTE DA SERRA;RO;Amazônia
NOVA MAMORÉ;RO;Amazônia
SÃO MIGUEL DO GUAPORÉ;RO;Amazônia
GUARATUBA;PR;Mata Atlântica
MATINHOS;PR;Mata Atlântica
MORRETES;PR;Mata Atlântica
BOM JARDIM DA SERRA;SC;Mata Atlântica
GRÃO PARÁ;SC;Mata Atlântica
ORLEANS;SC;Mata Atlântica
URUBICI;SC;Mata Atlântica
BRASILEIRA;PI;Cerrado
PIRACURUCA;PI;Cerrado
FRECHEIRINHA;CE;Caatinga
UBAJARA;CE;Caatinga
LAGOA DA CONFUSÃO;TO;Cerrado
PIUM;TO;Cerrado
CALÇOENE;AP;Amazônia
OIAPOQUE;AP;Amazônia
BUÍQUE;PE;Caatinga
IBIMIRIM;PE;Caatinga
SERTÂNIA;PE;Caatinga
TUPANATINGA;PE;Caatinga
PRADO;BA;Mata Atlântica
CÉU AZUL;PR;Mata Atlântica
FOZ DO IGUAÇU;PR;Mata Atlântica
MATELÂNDIA;PR;Mata Atlântica
MEDIANEIRA;PR;Mata Atlântica
SÃO MIGUEL DO IGUAÇU;PR;Mata Atlântica
UIRAMUTÃ;RR;Amazônia
PORTO SEGURO;BA;Mata Atlântica
SÃO GABRIEL DA CACHOEIRA;AM;Amazônia
BARREIRINHAS;MA;Cerrado
PRIMEIRA CRUZ;MA;Cerrado
SANTO AMARO DO MARANHÃO;MA;Cerrado
ÁGUIA BRANCA;ES;Mata Atlântica
PANCAS;ES;Mata Atlântica
ARINOS;MG;Cerrado
CHAPADA GAÚCHA;MG;Cerrado
COCOS;BA;Cerrado
FORMOSO;MG;Cerrado
ALCOBAÇA;BA;Área Marinha
CARAVELAS;BA;Área Marinha
PEDRA BRANCA DO AMAPARI;AP;Amazônia
SERRA DO NAVIO;AP;Amazônia
COSTA MARQUES;RO;Amazônia
PORTO ALEGRE;RS;Área Marinha
SANTA TERESA;ES;Mata Atlântica
ALMENARA;MG;Mata Atlântica
JEQUITINHONHA;MG;Mata Atlântica
ARACRUZ;ES;Mata Atlântica
MAMANGUAPE;PB;Mata Atlântica
CORRENTES;PE;Mata Atlântica
LAGOA DO OURO;PE;Mata Atlântica
QUEBRANGULO;AL;Mata Atlântica
RIO FORMOSO;PE;Mata Atlântica
TAMANDARÉ;PE;Mata Atlântica
PACATUBA;SE;Mata Atlântica
PIRAMBU;SE;Mata Atlântica
FLORESTA;PE;Caatinga
INAJÁ;PE;Caatinga
TACARATU;PE;Caatinga
JAGUARÉ;ES;Mata Atlântica
SOORETAMA;ES;Mata Atlântica
VILA VALÉRIO;ES;Mata Atlântica
UNA;BA;Mata Atlântica
NATAL;RN;Área Marinha
PINHEIROS;ES;Mata Atlântica
MUCURI;BA;Mata Atlântica
ALTA FLORESTA D'OESTE;RO;Amazônia
SÃO FRANCISCO DO GUAPORÉ;RO;Amazônia
BOM JARDIM;MA;Amazônia
CENTRO NOVO DO MARANHÃO;MA;Amazônia
SÃO JOÃO DO CARÚ;MA;Amazônia
JI-PARANÁ;RO;Amazônia
MACHADINHO D'OESTE;RO;Amazônia
VALE DO ANARI;RO;Amazônia
TARTARUGALZINHO;AP;Amazônia
MIGUEL PEREIRA;RJ;Mata Atlântica
NOVA IGUAÇU;RJ;Mata Atlântica
PRESIDENTE FIGUEIREDO;AM;Amazônia
SÃO SEBASTIÃO DO UATUMÃ;AM;Amazônia
URUCARÁ;AM;Amazônia
BOMBINHAS;SC;Área Marinha
NOVO PROGRESSO;PA;Amazônia
FONTE BOA;AM;Amazônia
MARAÃ;AM;Amazônia
BRASILÉIA;AC;Amazônia
CAPIXABA;AC;Amazônia
RIO BRANCO;AC;Amazônia
SANTARÉM NOVO;PA;Amazônia
SÃO JOÃO DE PIRABAS;PA;Amazônia
DAVINÓPOLIS;MA;Cerrado
SENADOR LA ROCQUE;MA;Cerrado
MARACANÃ;PA;Amazônia
SÃO JOÃO DA PONTA;PA;Amazônia
AQUIRAZ;CE;Caatinga
MANOEL URBANO;AC;Amazônia
BURITI DO TOCANTINS;TO;Amazônia
CARRASCO BONITO;TO;Amazônia
SAMPAIO;TO;Amazônia
BAIÃO;PA;Amazônia
MANICORÉ;AM;Amazônia
CURUÇÁ;PA;Amazônia
CACHOEIRA;BA;Mata Atlântica
MARAGOGIPE;BA;Mata Atlântica
SÃO FÉLIX;BA;Mata Atlântica
JEQUIÁ DA PRAIA;AL;Área Marinha
AUGUSTO CORRÊA;PA;Amazônia
VISEU;PA;Amazônia
BRAGANÇA;PA;Amazônia
TRACUATEUA;PA;Amazônia
ARARUAMA;RJ;Área Marinha
ARRAIAL DO CABO;RJ;Área Marinha
CABO FRIO;RJ;Área Marinha
PORTO SEGURO;BA;Área Marinha
PRADO;BA;Área Marinha
BELMONTE;BA;Área Marinha
CANAVIEIRAS;BA;Área Marinha
UNA;BA;Área Marinha
SOURE;PA;Amazônia
CURITIBA;PR;Amazônia
IPIXUNA;AM;Amazônia
TARAUACÁ;AC;Amazônia
SANTARÉM;PA;Amazônia
ABELARDO LUZ;SC;Mata Atlântica
CLEVELÂNDIA;PR;Mata Atlântica
PALMAS;PR;Mata Atlântica
PASSOS MAIA;SC;Mata Atlântica
PONTE SERRADA;SC;Mata Atlântica
JACAREACANGA;PA;Amazônia
NOSSA SENHORA DO SOCORRO;SE;Mata Atlântica
CAROLINA;MA;Cerrado
ESTREITO;MA;Cerrado
RIACHÃO;MA;Cerrado
OEIRAS DO PARÁ;PA;Amazônia
JORDÃO;AC;Amazônia
CIANORTE;PR;Mata Atlântica
TUNEIRAS DO OESTE;PR;Mata Atlântica
IPIRANGA;PR;Mata Atlântica
CARAMBEÍ;PR;Mata Atlântica
CASTRO;PR;Mata Atlântica
PONTA GROSSA;PR;Mata Atlântica
GENERAL CARNEIRO;PR;Mata Atlântica
APICUM-AÇU;MA;Área Marinha
BACURI;MA;Área Marinha
CURURUPU;MA;Área Marinha
SERRANO DO MARANHÃO;MA;Área Marinha
APIACÁS;MT;Amazônia
COTRIGUAÇU;MT;Amazônia
NOVA BANDEIRANTES;MT;Amazônia
CURRALINHO;PA;Amazônia
SÃO SEBASTIÃO DA BOA VISTA;PA;Amazônia
COLNIZA;MT;Amazônia
NOVO ARIPUANÃ;AM;Amazônia
GUARANI DE GOIÁS;GO;Cerrado
ARUANÃ;GO;Cerrado
PALMAS;TO;Cerrado
ABREULÂNDIA;TO;Cerrado
ITÁPOLIS;SP;Cerrado
CARAGUATATUBA;SP;Mata Atlântica
MONTEIRO LOBATO;SP;Mata Atlântica
SÃO PAULO;SP;Mata Atlântica
MAIRIPORÃ;SP;Mata Atlântica
IBIÚNA;SP;Mata Atlântica
JAÚ;SP;Mata Atlântica
MOGI MIRIM;SP;Mata Atlântica
ARAÇARIGUAMA;SP;Mata Atlântica
TAPIRAÍ;SP;Mata Atlântica
SÃO JOSÉ DOS CAMPOS;SP;Mata Atlântica
CAFELÂNDIA;SP;Mata Atlântica
GUAPIARA;SP;Mata Atlântica
JAGUARIÚNA;SP;Mata Atlântica
SÃO SEBASTIÃO;SP;Mata Atlântica
BRAGANÇA PAULISTA;SP;Cerrado
SERRA AZUL;SP;Cerrado
ITAPEVI;SP;Mata Atlântica
JOANÓPOLIS;SP;Mata Atlântica
SANTANA DE PARNAÍBA;SP;Mata Atlântica
PIRAPORA DO BOM JESUS;SP;Mata Atlântica
BRAGANÇA PAULISTA;SP;Mata Atlântica
ATIBAIA;SP;Mata Atlântica
CUBATÃO;SP;Mata Atlântica
SÃO LUIZ DO PARAITINGA;SP;Mata Atlântica
ALFREDO WAGNER;SC;Mata Atlântica
ANTÔNIO CARLOS;SC;Mata Atlântica
CORUPÁ;SC;Mata Atlântica
BALNEÁRIO CAMBORIÚ;SC;Mata Atlântica
ITAPOÁ;SC;Mata Atlântica
NOVA TRENTO;SC;Mata Atlântica
SÃO JOAQUIM;SC;Mata Atlântica
ITUPORANGA;SC;Mata Atlântica
BRUSQUE;SC;Mata Atlântica
SANTA ROSA DE LIMA;SC;Mata Atlântica
SÃO FRANCISCO DO SUL;SC;Mata Atlântica
SÃO BENTO DO SUL;SC;Mata Atlântica
JOINVILLE;SC;Mata Atlântica
ÁGUA DOCE;SC;Mata Atlântica
SÃO JOSÉ;SC;Mata Atlântica
PAULO LOPES;SC;Mata Atlântica
SÃO PEDRO DE ALCÂNTARA;SC;Mata Atlântica
BARRA DO RIBEIRO;RS;Pampa
PORTO ALEGRE;RS;Pampa
SÃO BORJA;RS;Pampa
TORRES;RS;Mata Atlântica
HUMAITÁ;RS;Mata Atlântica
SÃO FRANCISCO DE ASSIS;RS;Pampa
VIAMÃO;RS;Pampa
MARAÚ;BA;Mata Atlântica
PEDRO OSÓRIO;RS;Pampa
DOM PEDRITO;RS;Pampa
ENCRUZILHADA DO SUL;RS;Pampa
MARIANA PIMENTEL;RS;Pampa
