codigo_uc;bioma;area
0000.00.0118;Amazônia;74056.33333333333
0000.00.0119;Amazônia;568289.0
0000.00.0120;Amazônia;176385.0
0000.00.0121;Amazônia;128064.5
0000.00.0122;Mata Atlântica;2817.0
0000.00.0123;Amazônia;131265.0
0000.00.0124;Amazônia;65502.0
0000.00.0125;Mata Atlântica;1267.6666666666667
0000.00.0126;Amazônia;184475.0
0000.00.0127;Mata Atlântica;496.0
0000.00.0128;Cerrado;1952.0
0000.00.0129;Mata Atlântica;335.0
0000.00.0130;Mata Atlântica;1334.0
0000.00.0131;Mata Atlântica;151.0
0000.00.0132;Mata Atlântica;56.5
0000.00.0133;Mata Atlântica;1616.0
0000.00.0134;Mata Atlântica;4385.0
0000.00.0135;Caatinga;16683.0
0000.00.0135;Cerrado;11541.5
0000.00.0136;Amazônia;355437.3333333333
0000.00.0137;Caatinga;25303.333333333332
0000.00.0138;Cerrado;16323.5
0000.00.0139;Cerrado;48117.4
0000.00.0140;Pampa;16243.0
0000.00.0140;Área Marinha;2115.0
0000.00.0141;Mata Atlântica;4917.333333333333
0000.00.0141;Área Marinha;56.0
0000.00.0142;Mata Atlântica;17734.5
0000.00.0142;Área Marinha;26.5
0000.00.0143;Cerrado;19243.25
0000.00.0144;Cerrado;32995.833333333336
0000.00.0145;Caatinga;25190.75
0000.00.0146;Caatinga;62078.818181818184
0000.00.0146;Cerrado;12816.545454545454
0000.00.0147;Caatinga;0.16666666666666666
0000.00.0147;Mata Atlântica;1337.3333333333333
0000.00.0148;Cerrado;5223.666666666667
0000.00.0148;Mata Atlântica;49.5
0000.00.0149;Amazônia;165690.2
0000.00.0150;Mata Atlântica;6392.111111111111
0000.00.0151;Amazônia;222707.0
0000.00.0152;Mata Atlântica;4962.5
0000.00.0153;Mata Atlântica;5758.333333333333
0000.00.0154;Mata Atlântica;3959.0
0000.00.0155;Cerrado;66393.5
0000.00.0156;Cerrado;83308.44444444444
0000.00.0157;Cerrado;31654.25
0000.00.0158;Mata Atlântica;6483.0
0000.00.0159;Cerrado;14118.666666666666
0000.00.0160;Mata Atlântica;3527.8888888888887
0000.00.0161;Mata Atlântica;8495.555555555555
0000.00.0162;Caatinga;3309.0
0000.00.0162;Área Marinha;1118.5
0000.00.0163;Amazônia;100874.71428571429
0000.00.0164;Mata Atlântica;6088.0
0000.00.0165;Mata Atlântica;12418.0
0000.00.0166;Cerrado;3155.5
0000.00.0167;Caatinga;2101.3333333333335
0000.00.0168;Cerrado;277741.5
0000.00.0169;Amazônia;221507.5
0000.00.0169;Área Marinha;107160.5
0000.00.0170;Caatinga;15560.0
0000.00.0171;Mata Atlântica;22608.0
0000.00.0172;Mata Atlântica;33970.4
0000.00.0173;Amazônia;1183678.5
0000.00.0174;Amazônia;114243.0
0000.00.0175;Pantanal;135923.0
0000.00.0176;Mata Atlântica;18935.0
0000.00.0177;Amazônia;1123537.5
0000.00.0178;Mata Atlântica;33695.0
0000.00.0178;Área Marinha;166.0
0000.00.0179;Amazônia;140492.0
0000.00.0180;Amazônia;7.0
0000.00.0180;Cerrado;48911.666666666664
0000.00.0180;Área Marinha;3472.6666666666665
0000.00.0181;Mata Atlântica;8722.0
0000.00.0182;Mata Atlântica;22188.0
0000.00.0182;Área Marinha;52.0
0000.00.0183;Cerrado;57713.25
0000.00.0184;Mata Atlântica;7021.5
0000.00.0185;Mata Atlântica;32.0
0000.00.0185;Área Marinha;43945.0
0000.00.0186;Mata Atlântica;1169.0
0000.00.0186;Área Marinha;9764.0
0000.00.0187;Amazônia;638020.5
0000.00.0188;Amazônia;141750.5
0000.00.0189;Amazônia;179695.5
0000.00.0190;Mata Atlântica;3.0
0000.00.0190;Área Marinha;140.0
0000.00.0191;Mata Atlântica;3562.0
0000.00.0192;Cerrado;3412.0
0000.00.0193;Mata Atlântica;25446.0
0000.00.0194;Amazônia;224746.0
0000.00.0195;Mata Atlântica;389.5
0000.00.0195;Área Marinha;3.0
0000.00.0196;Caatinga;25.0
0000.00.0196;Mata Atlântica;2112.5
0000.00.0197;Mata Atlântica;1460.6666666666667
0000.00.0198;Mata Atlântica;281.5
0000.00.0199;Mata Atlântica;1933.5
