codigo_uc;municipio;uf
0000.00.0019;ÁGUA DOCE DO MARANHÃO;MA
0000.00.0019;ARAIOSES;MA
0000.00.0019;BARROQUINHA;CE
0000.00.0019;CAJUEIRO DA PRAIA;PI
0000.00.0019;CHAVAL;CE
0000.00.0019;ILHA GRANDE;PI
0000.00.0019;LUÍS CORREIA;PI
0000.00.0019;PARNAÍBA;PI
0000.00.0019;PAULINO NEVES;MA
0000.00.0019;TUTÓIA;MA
0000.00.0020;CONFINS;MG
0000.00.0020;FUNILÂNDIA;MG
0000.00.0020;LAGOA SANTA;MG
0000.00.0020;MATOZINHOS;MG
0000.00.0020;PEDRO LEOPOLDO;MG
0000.00.0021;ALEGRETE;RS
0000.00.0021;QUARAÍ;RS
0000.00.0021;ROSÁRIO DO SUL;RS
0000.00.0021;SANT'ANA DO LIVRAMENTO;RS
0000.00.0022;PARAUAPEBAS;PA
0000.00.0023;BRASÍLIA;DF
0000.00.0023;PADRE BERNARDO;GO
0000.00.0023;PLANALTINA;GO
0000.00.0024;COCALINHO;MT
0000.00.0024;FORMOSO DO ARAGUAIA;TO
0000.00.0024;NOVA CRIXÁS;GO
0000.00.0024;SANDOLÂNDIA;TO
0000.00.0024;SÃO MIGUEL DO ARAGUAIA;GO
0000.00.0025;ALTÔNIA;PR
0000.00.0025;ALTO PARAÍSO;PR
0000.00.0025;BATAYPORÃ;MS
0000.00.0025;DIAMANTE DO NORTE;PR
0000.00.0025;ELDORADO;MS
0000.00.0025;GUAÍRA;PR
0000.00.0025;ICARAÍMA;PR
0000.00.0025;IGUATEMI;MS
0000.00.0025;ITAQUIRAÍ;MS
0000.00.0025;IVATÉ;PR
0000.00.0025;IVINHEMA;MS
0000.00.0025;JAPORÃ;MS
0000.00.0025;JATEÍ;MS
0000.00.0025;MARILENA;PR
0000.00.0025;MUNDO NOVO;MS
0000.00.0025;NAVIRAÍ;MS
0000.00.0025;NOVA ANDRADINA;MS
0000.00.0025;NOVA LONDRINA;PR
0000.00.0025;NOVO HORIZONTE DO SUL;MS
0000.00.0025;PORTO RICO;PR
0000.00.0025;QUERÊNCIA DO NORTE;PR
0000.00.0025;ROSANA;SP
0000.00.0025;SANTA CRUZ DE MONTE CASTELO;PR
0000.00.0025;SÃO JORGE DO PATROCÍNIO;PR
0000.00.0025;SÃO PEDRO DO PARANÁ;PR
0000.00.0025;TAQUARUSSU;MS
0000.00.0025;TERRA ROXA;PR
0000.00.0027;CONCEIÇÃO DO MATO DENTRO;MG
0000.00.0027;ITABIRA;MG
0000.00.0027;ITAMBÉ DO MATO DENTRO;MG
0000.00.0027;JABOTICATUBAS;MG
0000.00.0027;MORRO DO PILAR;MG
0000.00.0027;NOVA UNIÃO;MG
0000.00.0027;SANTANA DO RIACHO;MG
0000.00.0027;TAQUARAÇU DE MINAS;MG
0000.00.0028;BURITINÓPOLIS;GO
0000.00.0028;DAMIANÓPOLIS;GO
0000.00.0028;JABORANDI;BA
0000.00.0028;MAMBAÍ;GO
0000.00.0028;POSSE;GO
0000.00.0029;BOM PRINCÍPIO DO PIAUÍ;PI
0000.00.0029;BRASILEIRA;PI
0000.00.0029;BURITI DOS LOPES;PI
0000.00.0029;CHAVAL;CE
0000.00.0029;COCAL;PI
0000.00.0029;CONCEIÇÃO DO CANINDÉ;PI
0000.00.0029;DOMINGOS MOURÃO;PI
0000.00.0029;GRANJA;CE
0000.00.0029;LAGOA DE SÃO FRANCISCO;PI
0000.00.0029;MORAÚJO;CE
0000.00.0029;PEDRO II;PI
0000.00.0029;PIRACURUCA;PI
0000.00.0029;PIRIPIRI;PI
0000.00.0029;TIANGUÁ;CE
0000.00.0029;VIÇOSA DO CEARÁ;CE
0000.00.0030;SANTA RITA DO PASSA QUATRO;SP
0000.00.0031;BRASÍLIA;DF
0000.00.0032;SANTA RITA DO PASSA QUATRO;SP
0000.00.0034;NITERÓI;RJ
0000.00.0035;BARRA MANSA;RJ
0000.00.0035;VOLTA REDONDA;RJ
0000.00.0036;PERUÍBE;SP
0000.00.0037;PERUÍBE;SP
0000.00.0038;SANTO ANTÔNIO DO IÇÁ;AM
0000.00.0039;MARCAÇÃO;PB
0000.00.0039;RIO TINTO;PB
0000.00.0040;CAMPINAS;SP
0000.00.0040;PAULÍNIA;SP
0000.00.0041;ARTUR NOGUEIRA;SP
0000.00.0041;COSMÓPOLIS;SP
0000.00.0043;MANAUS;AM
0000.00.0043;RIO PRETO DA EVA;AM
0000.00.0044;EPITACIOLÂNDIA;AC
0000.00.0044;XAPURI;AC
0000.00.0045;VITOR MEIRELES;SC
0000.00.0047;ALTAMIRA;PA
0000.00.0047;SÃO FÉLIX DO XINGU;PA
0000.00.0048;AIUABA;CE
0000.00.0049;MANAUS;AM
0000.00.0049;NOVO AIRÃO;AM
0000.00.0050;MUITOS CAPÕES;RS
0000.00.0052;FLORIANÓPOLIS;SC
0000.00.0053;CANUTAMA;AM
0000.00.0053;HUMAITÁ;AM
0000.00.0053;PORTO VELHO;RO
0000.00.0054;GUARAQUEÇABA;PR
0000.00.0056;AMATURÁ;AM
0000.00.0056;JUTAÍ;AM
0000.00.0056;SANTO ANTÔNIO DO IÇÁ;AM
0000.00.0056;TONANTINS;AM
0000.00.0057;ALTO ALEGRE;RR
0000.00.0057;AMAJARI;RR
0000.00.0058;AMAPÁ;AP
0000.00.0059;FLEXEIRAS;AL
0000.00.0059;MESSIAS;AL
0000.00.0059;MURICI;AL
0000.00.0060;CARACARAÍ;RR
0000.00.0061;MORADA NOVA DE MINAS;MG
0000.00.0062;CÁCERES;MT
0000.00.0062;POCONÉ;MT
0000.00.0063;ANGRA DOS REIS;RJ
0000.00.0063;PARATY;RJ
0000.00.0064;SÃO SEBASTIÃO;SP
0000.00.0064;UBATUBA;SP
0000.00.0065;BAIXA GRANDE DO RIBEIRO;PI
0000.00.0066;ALTO SANTO;CE
0000.00.0066;IRACEMA;CE
0000.00.0066;JAGUARIBARA;CE
0000.00.0067;ALMEIRIM;PA
0000.00.0067;LARANJAL DO JARI;AP
0000.00.0067;MAZAGÃO;AP
0000.00.0068;ASSIS BRASIL;AC
0000.00.0068;SENA MADUREIRA;AC
0000.00.0069;SERRA NEGRA DO NORTE;RN
0000.00.0070;RIO GRANDE;RS
0000.00.0070;SANTA VITÓRIA DO PALMAR;RS
0000.00.0071;CANANÉIA;SP
0000.00.0071;ITANHAÉM;SP
0000.00.0071;PERUÍBE;SP
0000.00.0072;JAPURÁ;AM
0000.00.0073;EUCLIDES DA CUNHA PAULISTA;SP
0000.00.0073;MARABÁ PAULISTA;SP
0000.00.0073;PRESIDENTE EPITÁCIO;SP
0000.00.0073;TEODORO SAMPAIO;SP
0000.00.0074;JEREMOABO;BA
0000.00.0074;PAULO AFONSO;BA
0000.00.0074;RODELAS;BA
0000.00.0075;CÁCERES;MT
0000.00.0075;PORTO ESTRELA;MT
0000.00.0076;ALMAS;TO
0000.00.0076;FORMOSA DO RIO PRETO;BA
0000.00.0076;MATEIROS;TO
0000.00.0076;PONTE ALTA DO TOCANTINS;TO
0000.00.0076;RIO DA CONCEIÇÃO;TO
0000.00.0077;CAMPO LARGO;PR
0000.00.0078;CAÇADOR;SC
0000.00.0079;BURI;SP
0000.00.0079;CAPÃO BONITO;SP
0000.00.0080;CHAPECÓ;SC
0000.00.0080;GUATAMBÚ;SC
0000.00.0081;CONTENDAS DO SINCORÁ;BA
0000.00.0081;TANHAÇU;BA
0000.00.0082;AÇU;RN
0000.00.0083;ALTAMIRA;PA
0000.00.0083;ITAITUBA;PA
0000.00.0083;TRAIRÃO;PA
0000.00.0084;CARACARAÍ;RR
0000.00.0084;RORAINÓPOLIS;RR
0000.00.0085;CANUTAMA;AM
0000.00.0085;TAPAUÁ;AM
0000.00.0086;BRASÍLIA;DF
0000.00.0087;CANELA;RS
0000.00.0088;ÁGUA AZUL DO NORTE;PA
0000.00.0088;CANAÃ DOS CARAJÁS;PA
0000.00.0088;PARAUAPEBAS;PA
0000.00.0089;GURUPÁ;PA
0000.00.0089;MELGAÇO;PA
0000.00.0089;PORTEL;PA
0000.00.0089;PORTO DE MOZ;PA
0000.00.0090;BAIANÓPOLIS;BA
0000.00.0091;LINHARES;ES
0000.00.0092;HUMAITÁ;AM
0000.00.0093;APIÚNA;SC
0000.00.0093;ASCURRA;SC
0000.00.0093;IBIRAMA;SC
0000.00.0094;ARAÇOIABA DA SERRA;SP
0000.00.0094;CAPELA DO ALTO;SP
0000.00.0094;IPERÓ;SP
0000.00.0095;ITAITUBA;PA
0000.00.0095;TRAIRÃO;PA
0000.00.0096;ITAITUBA;PA
0000.00.0096;TRAIRÃO;PA
0000.00.0097;CANDEIAS DO JAMARI;RO
0000.00.0097;PORTO VELHO;RO
0000.00.0098;LORENA;SP
0000.00.0099;ALENQUER;PA
0000.00.0099;MONTE ALEGRE;PA
0000.00.0100;NÍSIA FLORESTA;RN
0000.00.0101;CACHOEIRO DE ITAPEMIRIM;ES
0000.00.0102;ALTOS;PI
0000.00.0102;TERESINA;PI
0000.00.0103;PARAOPEBA;MG
0000.00.0104;BORBA;AM
0000.00.0104;MAUÉS;AM
0000.00.0104;NOVA OLINDA DO NORTE;AM
0000.00.0105;CORONEL XAVIER CHAVES;MG
